state,age_group,disability_type,support_class,participant_count,average_support_budget,utilisation_rate,active_provider_count,participant_to_provider_ratio,utilisation_gap,payment_per_participant,access_risk,recommended_support
QLD,55 to 64,Other,Capital,659,30000.0,73.0,32,20.5938,27.0,17660.0,Medium Risk,Plan Utilisation Support
QLD,55 to 64,Other,Core,882,163000.0,70.0,68,12.9706,30.0,116457.0,Medium Risk,Core Support Monitoring
QLD,55 to 64,Other Neurological,Capacity Building,1694,24000.0,63.0,289,5.8616,37.0,15001.0,Medium Risk,Therapy and Daily Living Support Review
QLD,55 to 64,Other Neurological,Capital,974,26000.0,74.0,48,20.2917,26.0,17000.0,Medium Risk,Therapy and Daily Living Support Review
QLD,55 to 64,Other Neurological,Core,1678,206000.0,74.0,167,10.0479,26.0,155816.0,Medium Risk,Therapy and Daily Living Support Review
QLD,55 to 64,Other Physical,Capacity Building,1416,15000.0,62.0,141,10.0426,38.0,9474.0,Medium Risk,Assistive Technology / Transport Support
QLD,55 to 64,Other Physical,Capital,1186,26000.0,73.0,43,27.5814,27.0,12305.0,Medium Risk,Assistive Technology / Transport Support
QLD,55 to 64,Other Physical,Core,1412,94000.0,72.0,92,15.3478,28.0,69238.0,Medium Risk,Assistive Technology / Transport Support
QLD,55 to 64,Other Sensory/Speech,Capacity Building,10,20000.0,61.5,1,10.0,38.5,0.0,Medium Risk,Provider Availability Review
QLD,55 to 64,Other Sensory/Speech,Capital,10,21000.0,75.0,1,10.0,25.0,0.0,Medium Risk,Provider Availability Review
QLD,55 to 64,Other Sensory/Speech,Core,10,88000.0,77.0,1,10.0,23.0,0.0,Medium Risk,Provider Availability Review
QLD,55 to 64,Psychosocial Disability,Capacity Building,3173,18000.0,64.0,436,7.2775,36.0,12055.0,Medium Risk,Psychosocial Recovery and Community Participation
QLD,55 to 64,Psychosocial Disability,Capital,270,12000.0,62.0,15,18.0,38.0,5185.0,Medium Risk,Psychosocial Recovery and Community Participation
QLD,55 to 64,Psychosocial Disability,Core,3166,103000.0,79.0,335,9.4507,21.0,84960.0,Medium Risk,Psychosocial Recovery and Community Participation
QLD,55 to 64,Spinal Cord Injury,Capacity Building,503,20000.0,62.0,69,7.2899,38.0,12909.0,Medium Risk,Assistive Technology / Transport Support
QLD,55 to 64,Spinal Cord Injury,Capital,468,32000.0,81.0,26,18.0,19.0,17662.0,Low Risk,Assistive Technology / Transport Support
QLD,55 to 64,Spinal Cord Injury,Core,507,188000.0,75.0,39,13.0,25.0,148911.0,Medium Risk,Assistive Technology / Transport Support
QLD,55 to 64,Stroke,Capacity Building,980,23000.0,70.0,145,6.7586,30.0,15345.0,Medium Risk,Therapy and Daily Living Support Review
QLD,55 to 64,Stroke,Capital,672,25000.0,73.0,34,19.7647,27.0,15107.0,Low Risk,Therapy and Daily Living Support Review
QLD,55 to 64,Stroke,Core,978,186000.0,77.0,117,8.359,23.0,144786.0,Medium Risk,Therapy and Daily Living Support Review
QLD,55 to 64,Visual Impairment,Capacity Building,487,11000.0,59.0,57,8.5439,41.0,6624.0,Medium Risk,Assistive Technology and Communication Support
QLD,55 to 64,Visual Impairment,Capital,159,10000.0,61.0,3,53.0,39.0,811.0,High Risk,Provider Availability Review
QLD,55 to 64,Visual Impairment,Core,486,68000.0,79.0,39,12.4615,21.0,53294.0,Medium Risk,Assistive Technology and Communication Support
QLD,65+,ABI,Capacity Building,702,21000.0,65.0,243,2.8889,35.0,14366.0,Medium Risk,Capacity Building Support Review
QLD,65+,ABI,Capital,403,21000.0,63.0,32,12.5938,37.0,10032.0,Medium Risk,Plan Utilisation Support
QLD,65+,ABI,Core,703,203000.0,80.0,161,4.3665,20.0,177441.0,Medium Risk,Core Support Monitoring
QLD,65+,Autism,Capacity Building,96,15000.0,69.0,30,3.2,31.0,3469.0,Medium Risk,Capacity Building - Improved Daily Living
QLD,65+,Autism,Capital,15,14000.0,74.5,2,7.5,25.5,0.0,Medium Risk,Provider Availability Review
QLD,65+,Autism,Core,101,81000.0,80.0,19,5.3158,20.0,21584.0,Medium Risk,Capacity Building - Improved Daily Living
QLD,65+,Cerebral Palsy,Capacity Building,168,21000.0,63.0,85,1.9765,37.0,11804.0,Medium Risk,Capacity Building Support Review
QLD,65+,Cerebral Palsy,Capital,142,27000.0,83.0,23,6.1739,17.0,10782.0,Low Risk,General Core Support Monitoring
QLD,65+,Cerebral Palsy,Core,168,271000.0,81.0,56,3.0,19.0,211929.0,Low Risk,Core Support Monitoring
QLD,65+,Down Syndrome,Capacity Building,47,24000.0,62.0,35,1.3429,38.0,0.0,Medium Risk,Capacity Building Support Review
QLD,65+,Down Syndrome,Capital,28,29000.0,70.0,8,3.5,30.0,0.0,Medium Risk,Plan Utilisation Support
QLD,65+,Down Syndrome,Core,43,349000.0,77.0,19,2.2632,23.0,0.0,Medium Risk,Core Support Monitoring
QLD,65+,Hearing Impairment,Capacity Building,510,5000.0,42.0,17,30.0,58.0,2416.0,Medium Risk,Assistive Technology and Communication Support
QLD,65+,Hearing Impairment,Capital,182,7000.0,32.0,3,60.6667,68.0,0.0,High Risk,Support Coordination / Plan Management Review
QLD,65+,Hearing Impairment,Core,525,18000.0,66.0,10,52.5,34.0,11093.0,High Risk,Assistive Technology and Communication Support
QLD,65+,Intellectual Disability,Capacity Building,835,18000.0,64.0,314,2.6592,36.0,11884.0,Medium Risk,Capacity Building - Social and Community Participation
QLD,65+,Intellectual Disability,Capital,315,16000.0,76.0,31,10.1613,24.0,9159.0,Low Risk,Capacity Building - Social and Community Participation
QLD,65+,Intellectual Disability,Core,837,214000.0,86.0,234,3.5769,14.0,203852.0,Low Risk,Capacity Building - Social and Community Participation
QLD,65+,Multiple Sclerosis,Capacity Building,455,20000.0,68.0,54,8.4259,32.0,14092.0,Medium Risk,Capacity Building Support Review
QLD,65+,Multiple Sclerosis,Capital,356,24000.0,78.0,22,16.1818,22.0,14803.0,Low Risk,General Core Support Monitoring
QLD,65+,Multiple Sclerosis,Core,453,151000.0,75.0,29,15.6207,25.0,125541.0,Medium Risk,Core Support Monitoring
QLD,65+,Other,Capacity Building,407,18000.0,61.0,81,5.0247,39.0,12737.0,Medium Risk,Capacity Building Support Review
QLD,65+,Other,Capital,294,28000.0,77.0,13,22.6154,23.0,13687.0,Medium Risk,General Core Support Monitoring
QLD,65+,Other,Core,407,140000.0,71.0,30,13.5667,29.0,117263.0,Medium Risk,Core Support Monitoring
QLD,65+,Other Neurological,Capacity Building,1437,23000.0,65.0,273,5.2637,35.0,16008.0,Medium Risk,Therapy and Daily Living Support Review
QLD,65+,Other Neurological,Capital,868,22000.0,74.0,37,23.4595,26.0,13856.0,Medium Risk,Therapy and Daily Living Support Review
QLD,65+,Other Neurological,Core,1428,198000.0,72.0,139,10.2734,28.0,176263.0,Medium Risk,Therapy and Daily Living Support Review
QLD,65+,Other Physical,Capacity Building,1161,14000.0,61.0,135,8.6,39.0,9153.0,Medium Risk,Assistive Technology / Transport Support
QLD,65+,Other Physical,Capital,1007,24000.0,76.0,27,37.2963,24.0,10454.0,Medium Risk,Assistive Technology / Transport Support
QLD,65+,Other Physical,Core,1160,88000.0,71.0,59,19.661,29.0,73636.0,Medium Risk,Assistive Technology / Transport Support
QLD,65+,Other Sensory/Speech,Capacity Building,10,20000.0,61.5,1,10.0,38.5,0.0,Medium Risk,Provider Availability Review
QLD,65+,Other Sensory/Speech,Capital,10,21000.0,75.0,1,10.0,25.0,0.0,Medium Risk,Provider Availability Review
QLD,65+,Other Sensory/Speech,Core,10,88000.0,77.0,1,10.0,23.0,0.0,Medium Risk,Provider Availability Review
QLD,65+,Psychosocial Disability,Capacity Building,1338,17000.0,63.0,280,4.7786,37.0,11348.0,Medium Risk,Psychosocial Recovery and Community Participation
QLD,65+,Psychosocial Disability,Capital,159,12000.0,68.0,7,22.7143,32.0,2818.0,Medium Risk,Psychosocial Recovery and Community Participation
QLD,65+,Psychosocial Disability,Core,1336,113000.0,75.0,204,6.549,25.0,101079.0,Medium Risk,Psychosocial Recovery and Community Participation
QLD,65+,Spinal Cord Injury,Capacity Building,333,18000.0,57.0,35,9.5143,43.0,11895.0,Medium Risk,Assistive Technology / Transport Support
QLD,65+,Spinal Cord Injury,Capital,308,24000.0,77.0,12,25.6667,23.0,12925.0,Medium Risk,Assistive Technology / Transport Support
QLD,65+,Spinal Cord Injury,Core,332,151000.0,73.0,11,30.1818,27.0,131380.0,Medium Risk,Assistive Technology / Transport Support
QLD,65+,Stroke,Capacity Building,768,20000.0,66.0,169,4.5444,34.0,14337.0,Medium Risk,Therapy and Daily Living Support Review
QLD,65+,Stroke,Capital,560,22000.0,77.0,35,16.0,23.0,13573.0,Low Risk,Therapy and Daily Living Support Review
QLD,65+,Stroke,Core,768,183000.0,75.0,90,8.5333,25.0,163350.0,Medium Risk,Therapy and Daily Living Support Review
QLD,65+,Visual Impairment,Capacity Building,358,10000.0,61.0,27,13.2593,39.0,5838.0,Medium Risk,Assistive Technology and Communication Support
QLD,65+,Visual Impairment,Capital,124,12000.0,48.0,24,5.1667,52.0,0.0,Medium Risk,Assistive Technology and Communication Support
QLD,65+,Visual Impairment,Core,361,56000.0,77.0,20,18.05,23.0,41601.0,Low Risk,Assistive Technology and Communication Support
QLD,9 to 14,ABI,Capacity Building,132,28000.0,59.0,33,4.0,41.0,11091.0,Medium Risk,Capacity Building Support Review
QLD,9 to 14,ABI,Capital,40,22000.0,69.0,17,2.3529,31.0,0.0,Medium Risk,Plan Utilisation Support
QLD,9 to 14,ABI,Core,127,60000.0,83.0,1,127.0,17.0,24496.0,High Risk,Provider Availability Review
QLD,9 to 14,Autism,Capacity Building,27179,19000.0,56.0,539,50.4249,44.0,9791.0,Medium Risk,Support Coordination / Plan Management Review
QLD,9 to 14,Autism,Capital,629,8000.0,64.0,2,314.5,36.0,2453.0,High Risk,Provider Availability Review
QLD,9 to 14,Autism,Core,24227,10000.0,74.0,80,302.8375,26.0,7789.0,Medium Risk,Provider Availability Review
QLD,9 to 14,Cerebral Palsy,Capacity Building,722,23000.0,64.0,69,10.4638,36.0,14900.0,Medium Risk,Capacity Building Support Review
QLD,9 to 14,Cerebral Palsy,Capital,516,20000.0,71.0,16,32.25,29.0,9132.0,Medium Risk,Plan Utilisation Support
QLD,9 to 14,Cerebral Palsy,Core,697,47000.0,80.0,15,46.4667,20.0,40184.0,Medium Risk,Core Support Monitoring
QLD,9 to 14,Developmental Delay,Capacity Building,146,16000.0,41.0,12,12.1667,59.0,11322.0,Medium Risk,Capacity Building - Improved Daily Living
QLD,9 to 14,Developmental Delay,Capital,10,8500.0,61.0,12,0.8333,39.0,0.0,Medium Risk,Capacity Building - Improved Daily Living
QLD,9 to 14,Developmental Delay,Core,106,1000.0,81.0,12,8.8333,19.0,255.0,Low Risk,Capacity Building - Improved Daily Living
QLD,9 to 14,Disability_Missing,Capacity Building,119,20000.0,85.0,47,2.5319,15.0,0.0,Low Risk,Capacity Building Support Review
QLD,9 to 14,Down Syndrome,Capacity Building,282,24000.0,64.0,39,7.2308,36.0,13383.0,Medium Risk,Capacity Building Support Review
QLD,9 to 14,Down Syndrome,Capital,72,9000.0,69.0,23,3.1304,31.0,0.0,Medium Risk,Plan Utilisation Support
QLD,9 to 14,Down Syndrome,Core,280,25000.0,85.0,7,40.0,15.0,26504.0,Medium Risk,Core Support Monitoring
QLD,9 to 14,Global Developmental Delay,Capacity Building,79,19000.0,54.0,19,4.1579,46.0,7810.0,Medium Risk,Capacity Building - Improved Daily Living
QLD,9 to 14,Global Developmental Delay,Capital,10,12500.0,68.0,19,0.5263,32.0,0.0,Medium Risk,Capacity Building - Improved Daily Living
QLD,9 to 14,Global Developmental Delay,Core,79,6000.0,82.0,19,4.1579,18.0,2063.0,Low Risk,Capacity Building - Improved Daily Living
QLD,9 to 14,Hearing Impairment,Capacity Building,1090,11000.0,38.0,34,32.0588,62.0,4006.0,Medium Risk,Assistive Technology and Communication Support
QLD,9 to 14,Hearing Impairment,Capital,35,4000.0,89.0,34,1.0294,11.0,0.0,Low Risk,Assistive Technology and Communication Support
QLD,9 to 14,Hearing Impairment,Core,1084,3000.0,57.0,34,31.8824,43.0,1853.0,Medium Risk,Assistive Technology and Communication Support
QLD,9 to 14,Intellectual Disability,Capacity Building,2711,22000.0,62.0,275,9.8582,38.0,12889.0,Medium Risk,Capacity Building - Social and Community Participation
QLD,9 to 14,Intellectual Disability,Capital,364,14000.0,78.0,6,60.6667,22.0,5766.0,Medium Risk,Capacity Building - Social and Community Participation
QLD,9 to 14,Intellectual Disability,Core,2461,22000.0,80.0,38,64.7632,20.0,18592.0,Medium Risk,Capacity Building - Social and Community Participation
QLD,9 to 14,Other,Capacity Building,376,16000.0,57.0,25,15.04,43.0,8306.0,Medium Risk,Capacity Building Support Review
QLD,9 to 14,Other,Capital,44,22000.0,75.0,1,44.0,25.0,0.0,High Risk,Provider Availability Review
QLD,9 to 14,Other,Core,327,6000.0,68.0,6,54.5,32.0,3263.0,High Risk,Core Support Monitoring
QLD,9 to 14,Other Neurological,Capacity Building,316,24000.0,63.0,41,7.7073,37.0,14434.0,Medium Risk,Therapy and Daily Living Support Review
QLD,9 to 14,Other Neurological,Capital,155,32000.0,63.0,3,51.6667,37.0,13258.0,High Risk,Provider Availability Review
QLD,9 to 14,Other Neurological,Core,301,56000.0,82.0,10,30.1,18.0,43598.0,Medium Risk,Therapy and Daily Living Support Review
QLD,9 to 14,Other Physical,Capacity Building,261,18000.0,53.0,21,12.4286,47.0,8805.0,Medium Risk,Assistive Technology / Transport Support
QLD,9 to 14,Other Physical,Capital,119,20000.0,52.0,1,119.0,48.0,4227.0,High Risk,Support Coordination / Plan Management Review
QLD,9 to 14,Other Physical,Core,251,19000.0,67.0,1,251.0,33.0,12598.0,High Risk,Provider Availability Review
QLD,9 to 14,Other Sensory/Speech,Capacity Building,99,13000.0,54.0,6,16.5,46.0,3232.0,Medium Risk,Assistive Technology and Communication Support
QLD,9 to 14,Other Sensory/Speech,Capital,10,7000.0,49.0,6,1.6667,51.0,0.0,Medium Risk,Assistive Technology and Communication Support
QLD,9 to 14,Other Sensory/Speech,Core,77,1000.0,44.0,6,12.8333,56.0,0.0,Medium Risk,Assistive Technology and Communication Support
QLD,9 to 14,Psychosocial Disability,Capacity Building,10,20000.0,61.5,4,2.5,38.5,0.0,Medium Risk,Provider Availability Review
QLD,9 to 14,Psychosocial Disability,Core,10,88000.0,77.0,4,2.5,23.0,0.0,Medium Risk,Provider Availability Review
QLD,9 to 14,Spinal Cord Injury,Capacity Building,10,20000.0,61.5,2,5.0,38.5,0.0,Medium Risk,Provider Availability Review
QLD,9 to 14,Spinal Cord Injury,Capital,10,21000.0,75.0,2,5.0,25.0,0.0,Medium Risk,Provider Availability Review
QLD,9 to 14,Spinal Cord Injury,Core,10,88000.0,77.0,2,5.0,23.0,0.0,Medium Risk,Provider Availability Review
QLD,9 to 14,Stroke,Capacity Building,19,16000.0,66.0,2,9.5,34.0,0.0,Medium Risk,Provider Availability Review
QLD,9 to 14,Stroke,Capital,10,16000.0,57.5,2,5.0,42.5,0.0,Medium Risk,Provider Availability Review
QLD,9 to 14,Stroke,Core,12,16000.0,49.0,2,6.0,51.0,0.0,High Risk,Provider Availability Review
QLD,9 to 14,Visual Impairment,Capacity Building,117,15000.0,49.0,10,11.7,51.0,4359.0,Medium Risk,Assistive Technology and Communication Support
QLD,9 to 14,Visual Impairment,Capital,31,8000.0,40.0,6,5.1667,60.0,0.0,Medium Risk,Assistive Technology and Communication Support
QLD,9 to 14,Visual Impairment,Core,113,6000.0,63.0,2,56.5,37.0,575.0,High Risk,Provider Availability Review
SA,0 to 8,ABI,Capacity Building,21,38000.0,81.0,1,21.0,19.0,0.0,Medium Risk,Provider Availability Review
SA,0 to 8,ABI,Capital,10,37500.0,66.5,1,10.0,33.5,0.0,Medium Risk,Provider Availability Review
SA,0 to 8,ABI,Core,14,37000.0,52.0,1,14.0,48.0,0.0,Medium Risk,Provider Availability Review
SA,0 to 8,Autism,Capacity Building,5320,24000.0,69.0,101,52.6733,31.0,14500.0,Medium Risk,Capacity Building - Improved Daily Living
SA,0 to 8,Autism,Capital,297,6000.0,43.0,1,297.0,57.0,1525.0,High Risk,Support Coordination / Plan Management Review
SA,0 to 8,Autism,Core,5010,5000.0,68.0,12,417.5,32.0,3002.0,High Risk,Provider Availability Review
SA,0 to 8,Cerebral Palsy,Capacity Building,200,29000.0,75.0,4,50.0,25.0,16285.0,High Risk,Provider Availability Review
SA,0 to 8,Cerebral Palsy,Capital,143,16000.0,60.0,4,35.75,40.0,5014.0,High Risk,Provider Availability Review
SA,0 to 8,Cerebral Palsy,Core,198,20000.0,74.0,4,49.5,26.0,9424.0,High Risk,Provider Availability Review
SA,0 to 8,Developmental Delay,Capacity Building,3657,22000.0,62.0,62,58.9839,38.0,12464.0,Medium Risk,Capacity Building - Improved Daily Living
SA,0 to 8,Developmental Delay,Capital,219,8000.0,63.0,34,6.4412,37.0,1457.0,Medium Risk,Capacity Building - Improved Daily Living
SA,0 to 8,Developmental Delay,Core,3414,2000.0,48.0,5,682.8,52.0,806.0,High Risk,Support Coordination / Plan Management Review
SA,0 to 8,Disability_Missing,Capacity Building,53,21000.0,48.0,13,4.0769,52.0,0.0,Medium Risk,Capacity Building Support Review
SA,0 to 8,Disability_Missing,Core,53,84500.0,28.0,13,4.0769,72.0,0.0,High Risk,Core Support Monitoring
SA,0 to 8,Down Syndrome,Capacity Building,93,29000.0,77.0,3,31.0,23.0,13441.0,Medium Risk,Provider Availability Review
SA,0 to 8,Down Syndrome,Capital,52,10000.0,71.0,3,17.3333,29.0,2365.0,Medium Risk,Provider Availability Review
SA,0 to 8,Down Syndrome,Core,90,16000.0,61.0,3,30.0,39.0,6844.0,High Risk,Provider Availability Review
SA,0 to 8,Global Developmental Delay,Capacity Building,2134,23000.0,67.0,48,44.4583,33.0,12636.0,Medium Risk,Capacity Building - Improved Daily Living
SA,0 to 8,Global Developmental Delay,Capital,200,10000.0,60.0,1,200.0,40.0,4180.0,High Risk,Support Coordination / Plan Management Review
SA,0 to 8,Global Developmental Delay,Core,2011,4000.0,60.0,6,335.1667,40.0,2008.0,High Risk,Support Coordination / Plan Management Review
SA,0 to 8,Hearing Impairment,Capacity Building,326,17000.0,59.0,7,46.5714,41.0,8144.0,High Risk,Assistive Technology and Communication Support
SA,0 to 8,Hearing Impairment,Capital,13,8000.0,45.0,4,3.25,55.0,0.0,High Risk,Provider Availability Review
SA,0 to 8,Hearing Impairment,Core,319,3000.0,59.0,2,159.5,41.0,1599.0,High Risk,Support Coordination / Plan Management Review
SA,0 to 8,Intellectual Disability,Capacity Building,313,26000.0,70.0,12,26.0833,30.0,17006.0,Medium Risk,Capacity Building - Social and Community Participation
SA,0 to 8,Intellectual Disability,Capital,81,16000.0,52.0,7,11.5714,48.0,2642.0,Medium Risk,Capacity Building - Social and Community Participation
SA,0 to 8,Intellectual Disability,Core,300,13000.0,64.0,2,150.0,36.0,4983.0,High Risk,Provider Availability Review
SA,0 to 8,Other,Capacity Building,88,22000.0,70.0,2,44.0,30.0,8716.0,High Risk,Provider Availability Review
SA,0 to 8,Other,Capital,10,14500.0,73.0,2,5.0,27.0,0.0,Medium Risk,Provider Availability Review
SA,0 to 8,Other,Core,86,7000.0,76.0,2,43.0,24.0,314.0,High Risk,Provider Availability Review
SA,0 to 8,Other Neurological,Capacity Building,43,30000.0,77.0,1,43.0,23.0,6163.0,High Risk,Provider Availability Review
SA,0 to 8,Other Neurological,Capital,25,16000.0,91.0,1,25.0,9.0,0.0,Medium Risk,Provider Availability Review
SA,0 to 8,Other Neurological,Core,43,16000.0,72.0,1,43.0,28.0,0.0,High Risk,Provider Availability Review
SA,0 to 8,Other Physical,Capacity Building,54,26000.0,64.0,2,27.0,36.0,9611.0,High Risk,Provider Availability Review
SA,0 to 8,Other Physical,Capital,31,21000.0,40.0,1,31.0,60.0,0.0,High Risk,Provider Availability Review
SA,0 to 8,Other Physical,Core,51,24000.0,41.0,2,25.5,59.0,4804.0,High Risk,Provider Availability Review
SA,0 to 8,Other Sensory/Speech,Capacity Building,10,21000.0,63.0,13,0.7692,37.0,0.0,Medium Risk,Assistive Technology and Communication Support
SA,0 to 8,Other Sensory/Speech,Core,10,84500.0,76.0,13,0.7692,24.0,0.0,Medium Risk,Assistive Technology and Communication Support
SA,0 to 8,Spinal Cord Injury,Capacity Building,10,21000.0,63.0,13,0.7692,37.0,0.0,Medium Risk,Assistive Technology / Transport Support
SA,0 to 8,Spinal Cord Injury,Capital,10,18000.0,64.0,6,1.6667,36.0,0.0,Medium Risk,Assistive Technology / Transport Support
SA,0 to 8,Spinal Cord Injury,Core,10,84500.0,76.0,13,0.7692,24.0,0.0,Medium Risk,Assistive Technology / Transport Support
SA,0 to 8,Stroke,Capacity Building,10,21000.0,63.0,13,0.7692,37.0,0.0,Medium Risk,Therapy and Daily Living Support Review
SA,0 to 8,Stroke,Capital,10,18000.0,64.0,6,1.6667,36.0,0.0,Medium Risk,Therapy and Daily Living Support Review
SA,0 to 8,Stroke,Core,10,84500.0,76.0,13,0.7692,24.0,0.0,Medium Risk,Therapy and Daily Living Support Review
SA,0 to 8,Visual Impairment,Capacity Building,19,23000.0,60.0,13,1.4615,40.0,0.0,Medium Risk,Assistive Technology and Communication Support
SA,0 to 8,Visual Impairment,Capital,10,13500.0,62.5,6,1.6667,37.5,0.0,Medium Risk,Assistive Technology and Communication Support
SA,0 to 8,Visual Impairment,Core,23,4000.0,65.0,13,1.7692,35.0,0.0,Medium Risk,Assistive Technology and Communication Support
SA,15 to 18,ABI,Capacity Building,25,20000.0,61.0,4,6.25,39.0,0.0,Medium Risk,Provider Availability Review
SA,15 to 18,ABI,Capital,10,29000.0,57.5,4,2.5,42.5,0.0,Medium Risk,Provider Availability Review
SA,15 to 18,ABI,Core,25,38000.0,54.0,4,6.25,46.0,0.0,Medium Risk,Provider Availability Review
SA,15 to 18,Autism,Capacity Building,6056,18000.0,52.0,157,38.5732,48.0,8637.0,Medium Risk,Capacity Building - Improved Daily Living
SA,15 to 18,Autism,Capital,183,8000.0,29.0,1,183.0,71.0,869.0,High Risk,Support Coordination / Plan Management Review
SA,15 to 18,Autism,Core,5119,25000.0,68.0,28,182.8214,32.0,16004.0,High Risk,Provider Availability Review
SA,15 to 18,Cerebral Palsy,Capacity Building,152,25000.0,73.0,13,11.6923,27.0,15125.0,Medium Risk,Capacity Building Support Review
SA,15 to 18,Cerebral Palsy,Capital,120,19000.0,69.0,2,60.0,31.0,5683.0,High Risk,Provider Availability Review
SA,15 to 18,Cerebral Palsy,Core,145,88000.0,74.0,4,36.25,26.0,43193.0,High Risk,Provider Availability Review
SA,15 to 18,Developmental Delay,Capacity Building,20,21000.0,63.0,13,1.5385,37.0,0.0,Medium Risk,Capacity Building - Improved Daily Living
SA,15 to 18,Down Syndrome,Capacity Building,57,28000.0,68.0,5,11.4,32.0,9877.0,Medium Risk,Provider Availability Review
SA,15 to 18,Down Syndrome,Capital,10,37500.0,12.0,5,2.0,88.0,0.0,High Risk,Provider Availability Review
SA,15 to 18,Down Syndrome,Core,52,47000.0,91.0,5,10.4,9.0,21673.0,Medium Risk,Provider Availability Review
SA,15 to 18,Global Developmental Delay,Capacity Building,10,21000.0,63.0,13,0.7692,37.0,0.0,Medium Risk,Capacity Building - Improved Daily Living
SA,15 to 18,Global Developmental Delay,Core,10,84500.0,76.0,13,0.7692,24.0,0.0,Medium Risk,Capacity Building - Improved Daily Living
SA,15 to 18,Hearing Impairment,Capacity Building,189,8000.0,38.0,3,63.0,62.0,1878.0,High Risk,Support Coordination / Plan Management Review
SA,15 to 18,Hearing Impairment,Capital,11,4000.0,0.0,2,5.5,100.0,0.0,High Risk,Provider Availability Review
SA,15 to 18,Hearing Impairment,Core,193,4000.0,50.0,1,193.0,50.0,1990.0,High Risk,Support Coordination / Plan Management Review
SA,15 to 18,Intellectual Disability,Capacity Building,890,26000.0,58.0,81,10.9877,42.0,13809.0,Medium Risk,Capacity Building - Social and Community Participation
SA,15 to 18,Intellectual Disability,Capital,108,13000.0,58.0,1,108.0,42.0,2037.0,High Risk,Support Coordination / Plan Management Review
SA,15 to 18,Intellectual Disability,Core,817,59000.0,77.0,17,48.0588,23.0,39692.0,Medium Risk,Capacity Building - Social and Community Participation
SA,15 to 18,Other,Capacity Building,32,15000.0,62.0,1,32.0,38.0,0.0,High Risk,Provider Availability Review
SA,15 to 18,Other,Capital,13,54000.0,52.0,1,13.0,48.0,0.0,Medium Risk,Provider Availability Review
SA,15 to 18,Other,Core,30,31000.0,42.0,1,30.0,58.0,0.0,High Risk,Provider Availability Review
SA,15 to 18,Other Neurological,Capacity Building,77,23000.0,65.0,10,7.7,35.0,8662.0,Medium Risk,Therapy and Daily Living Support Review
SA,15 to 18,Other Neurological,Capital,45,25000.0,85.0,10,4.5,15.0,0.0,Low Risk,Therapy and Daily Living Support Review
SA,15 to 18,Other Neurological,Core,69,82000.0,61.0,10,6.9,39.0,21000.0,Medium Risk,Therapy and Daily Living Support Review
SA,15 to 18,Other Physical,Capacity Building,53,13000.0,50.0,3,17.6667,50.0,4321.0,High Risk,Provider Availability Review
SA,15 to 18,Other Physical,Capital,21,36000.0,21.0,1,21.0,79.0,0.0,High Risk,Provider Availability Review
SA,15 to 18,Other Physical,Core,46,22000.0,42.0,1,46.0,58.0,7326.0,High Risk,Provider Availability Review
SA,15 to 18,Other Sensory/Speech,Capacity Building,102,10000.0,41.0,3,34.0,59.0,1765.0,High Risk,Provider Availability Review
SA,15 to 18,Other Sensory/Speech,Capital,10,7000.0,33.5,3,3.3333,66.5,0.0,High Risk,Provider Availability Review
SA,15 to 18,Other Sensory/Speech,Core,72,4000.0,26.0,3,24.0,74.0,0.0,High Risk,Provider Availability Review
SA,15 to 18,Psychosocial Disability,Capacity Building,10,21000.0,63.0,13,0.7692,37.0,0.0,Medium Risk,Psychosocial Recovery and Community Participation
SA,15 to 18,Psychosocial Disability,Core,10,84500.0,76.0,13,0.7692,24.0,0.0,Medium Risk,Psychosocial Recovery and Community Participation
SA,15 to 18,Spinal Cord Injury,Capacity Building,10,21000.0,63.0,13,0.7692,37.0,0.0,Medium Risk,Assistive Technology / Transport Support
SA,15 to 18,Spinal Cord Injury,Capital,10,18000.0,64.0,6,1.6667,36.0,0.0,Medium Risk,Assistive Technology / Transport Support
SA,15 to 18,Spinal Cord Injury,Core,10,84500.0,76.0,13,0.7692,24.0,0.0,Medium Risk,Assistive Technology / Transport Support
SA,15 to 18,Stroke,Capacity Building,10,21000.0,63.0,13,0.7692,37.0,0.0,Medium Risk,Therapy and Daily Living Support Review
SA,15 to 18,Stroke,Capital,10,18000.0,64.0,6,1.6667,36.0,0.0,Medium Risk,Therapy and Daily Living Support Review
SA,15 to 18,Stroke,Core,10,84500.0,76.0,13,0.7692,24.0,0.0,Medium Risk,Therapy and Daily Living Support Review
SA,15 to 18,Visual Impairment,Capacity Building,47,11000.0,38.0,3,15.6667,62.0,1149.0,High Risk,Provider Availability Review
SA,15 to 18,Visual Impairment,Capital,15,7000.0,0.0,3,5.0,100.0,0.0,High Risk,Provider Availability Review
SA,15 to 18,Visual Impairment,Core,47,10000.0,39.0,3,15.6667,61.0,1170.0,High Risk,Provider Availability Review
SA,19 to 24,ABI,Capacity Building,56,26000.0,52.0,6,9.3333,48.0,5286.0,Medium Risk,Capacity Building Support Review
SA,19 to 24,ABI,Capital,15,16000.0,65.0,1,15.0,35.0,0.0,Medium Risk,Provider Availability Review
SA,19 to 24,ABI,Core,55,130000.0,75.0,2,27.5,25.0,61600.0,High Risk,Provider Availability Review
